Éí¸ß	ÌåÖØ	ÁìÎ§	Ðä³¤	¼ç¿í	ÐØÎ§	ÖÐÑü	¿ã³¤	Ðä·Ê	¿ãÑü	ÍÎÎ§	´óÍÈÎ§	ÒÂ³¤	Ö±µµ	Ðä¿Ú
173	49	36	62	42.9	84.9	72.2	100.9	27.2	76.6	85.6	47.3	71.8	59.4	16.8
173	50	36.2	61.9	43.1	85.5	72.9	100.9	27.5	77.2	86.2	47.7	71.9	59.6	16.9
173	51	36.3	61.9	43.3	86.2	73.7	100.9	27.7	77.8	86.8	48.1	72	59.9	16.9
173	52	36.5	61.9	43.4	86.8	74.5	100.9	27.9	78.3	87.4	48.5	72.1	60.1	17
173	53	36.6	61.9	43.6	87.4	75.2	100.9	28.2	78.9	87.9	48.8	72.2	60.4	17
173	54	36.8	61.9	43.8	88.1	76	100.9	28.4	79.5	88.5	49.2	72.3	60.6	17.1
173	55	36.9	61.9	44	88.7	76.8	100.9	28.6	80	89.1	49.6	72.4	60.9	17.1
173	56	37.1	61.9	44.2	89.3	77.5	100.9	28.9	80.6	89.7	50	72.5	61.1	17.2
173	57	37.2	61.9	44.3	90	78.3	100.8	29.1	81.2	90.3	50.4	72.6	61.4	17.3
173	58	37.4	61.9	44.5	90.6	79.1	100.8	29.3	81.8	90.8	50.8	72.7	61.6	17.3
173	59	37.5	61.9	44.7	91.2	79.8	100.8	29.6	82.3	91.4	51.2	72.8	61.9	17.4
173	60	37.7	61.8	44.9	91.9	80.6	100.8	29.8	82.9	92	51.5	72.9	62.1	17.4
173	61	37.9	61.8	45	92.5	81.3	100.8	30	83.5	92.6	51.9	73	62.4	17.5
173	62	38	61.8	45.2	93.2	82.1	100.8	30.3	84.1	93.2	52.3	73.1	62.6	17.5
173	63	38.2	61.8	45.4	93.8	82.9	100.8	30.5	84.6	93.7	52.7	73.2	62.9	17.6
173	64	38.3	61.8	45.6	94.4	83.6	100.8	30.7	85.2	94.3	53.1	73.3	63.1	17.6
173	65	38.5	61.8	45.8	95.1	84.4	100.8	31	85.8	94.9	53.5	73.4	63.4	17.7
173	66	38.6	61.8	45.9	95.7	85.2	100.8	31.2	86.4	95.5	53.9	73.5	63.6	17.8
173	67	38.8	61.8	46.1	96.3	85.9	100.8	31.4	86.9	96.1	54.2	73.6	63.9	17.8
173	68	38.9	61.8	46.3	97	86.7	100.7	31.7	87.5	96.7	54.6	73.7	64.1	17.9
173	69	39.1	61.7	46.5	97.6	87.4	100.7	31.9	88.1	97.2	55	73.8	64.4	17.9
173	70	39.2	61.7	46.6	98.2	88.2	100.7	32.1	88.7	97.8	55.4	73.9	64.6	18
173	71	39.4	61.7	46.8	98.9	89	100.7	32.3	89.2	98.4	55.8	74	64.9	18
173	72	39.5	61.7	47	99.5	89.7	100.7	32.6	89.8	99	56.2	74.1	65.1	18.1
173	73	39.7	61.7	47.2	100.1	90.5	100.7	32.8	90.4	99.6	56.6	74.2	65.4	18.2
173	74	39.8	61.7	47.4	100.8	91.3	100.7	33	91	100.1	56.9	74.3	65.6	18.2
173	75	40	61.7	47.5	101.4	92	100.7	33.3	91.5	100.7	57.3	74.4	65.9	18.3
173	76	40.1	61.7	47.7	102.1	92.8	100.7	33.5	92.1	101.3	57.7	74.5	66.1	18.3
173	77	40.3	61.7	47.9	102.7	93.6	100.7	33.7	92.7	101.9	58.1	74.6	66.4	18.4
