# 打印斐波拉契数列              annotation
def                            keyworld
Fibonacci                      id
(                              delim
n                              id
)                              delim
:                              delim
if                             id
n                              id
<                              relop
1                              digit
:                              delim
print                          id
(                              delim
'n必须大于0 ！'                 string
)                              delim
return                         id
0                              digit
t1                             id
=                              op
0                              digit
t2                             id
=                              op
1                              digit
while                          id
True                           id
:                              delim
n                              id
=                              op
n                              id
-                              relop
1                              digit
if                             id
n                              id
<                              relop
1                              digit
:                              delim
return                         id
t2                             id
t                              id
=                              op
t1                             id
+                              relop
t2                             id
t1                             id
=                              op
t2                             id
t2                             id
=                              op
t                              id
if                             id
__name__                       keyworld
==                             relop
"__main__"                     string
:                              delim
n                              id
=                              op
int                            id
(                              delim
input                          id
(                              delim
'请输入n::'                     string
)                              delim
)                              delim
f                              id
=                              op
Fibonacci                      id
(                              delim
n                              id
)                              delim
if                             id
f                              id
>                              op
0                              digit
:                              delim
print                          id
(                              delim
'第%d个斐波那契数列是:%d'       string
%                              delim
(                              delim
n                              id
,                              delim
f                              id
)                              delim
)                              delim
##其他测试                      annotation
a                              id
=                              op
12.341                         digit
b                              id
=                              op
2.53e10                        digit
c                              id
=                              op
534.23E23                      digit
a                              id
+=                             relop
b                              id
c                              id
**=                            relop
2                              digit
a                              id
/=                             relop
b                              id
if                             id
a                              id
<                              relop
b                              id
:                              delim
b                              id
=                              op
1                              digit
elif                           keyworld
c                              id
<                              relop
b                              id
c                              id
=                              op
3                              digit
else                           keyworld
c                              id
//=                            relop
2                              digit
s                              id
=                              op
'afewfewfefwe'                  string
ss                             id
=                              op
"efewfwe"                      string
a                              id
=                              op
b                              id
//                             relop
c                              id
+                              relop
242                            digit
/                             relop
a                              id
**                             relop
b
